Punt_nr,b1,b2,b3,b4,b5,b7,So_depth,,
1843,9552,10730,11528,14316,17866,13959,800,,
1844,9753,10868,11866,14447,18411,14218,800,,
1845,9618,10867,11753,14578,17866,14218,900,,
1846,9820,11421,12656,16153,18865,14866,900,,
1861,9619,11007,12318,15367,18593,15125,600,,
1862,9686,11007,11755,14841,18140,14607,900,,
1863,9955,11283,12543,16153,18957,15902,900,,
1864,9887,11283,12318,15366,18593,15514,900,,
1865,9617,11006,11980,15104,18865,15643,900,,
1866,9684,11006,12092,15629,18230,15125,200,,
1867,10223,12249,13669,17202,20498,17843,600,,
1868,9683,11144,12092,15104,18412,15384,900,,
1869,10087,11558,12881,16153,19047,16031,900,,
1870,9817,11281,12430,16023,18865,15902,900,,
1871,9884,11419,12317,15629,18593,15384,800,,
1872,9816,11281,12092,15104,18503,15384,800,,
1873,9816,10728,11753,14053,18230,14349,900,,
1874,9545,10728,11415,14447,17868,13960,900,,
1875,9679,10866,11640,14841,18412,14607,900,,
1876,9679,10865,11753,14579,18412,14607,800,,
1877,9678,10727,11640,14579,18230,14478,800,,
1878,9678,10727,11753,14841,18412,14607,900,,
1879,9610,10865,11527,14447,17868,13701,900,,
1901,9684,10868,11641,14185,17414,13831,600,,
1902,9616,10867,11754,14711,17414,13572,700,,
1903,9548,10729,11528,14185,17414,13831,600,,
1904,9547,10729,11528,13922,17687,13960,700,,
1905,9547,10728,11641,14185,17595,14090,900,,
1906,9546,10590,11528,14185,17868,13960,900,,
1907,9681,10728,11528,14316,17595,13960,900,,
1908,9613,10728,11528,14316,17414,13831,800,,
1909,9477,10728,11640,14841,17777,13831,900,,
1910,9612,10727,11527,15366,18049,14478,900,,
1911,9679,10727,11527,15104,17958,13831,900,,
1912,9678,10865,11640,15498,18322,14349,900,,
1913,9813,11280,12429,16677,19501,16031,900,,
1914,9677,11003,11865,15629,18865,15255,800,,
1915,9677,10726,11865,15234,18230,14607,900,,
1916,9542,10864,11640,15104,17868,14607,800,,
1917,9609,10726,11753,14710,17958,14349,800,,
1918,9542,10726,11527,14579,17595,13831,900,,
1919,9474,10588,11301,14053,17232,13831,900,,
